,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash
27,11794,4194853110,radamsa-0-exid22,radamsa,39136,eb5279990c24fd1dad8d74be1b34bf7c2a218cd724b737cd05d1c7f840ddab8a,crash,27,SEGV,e6d3bbbe9fe472284db579761c930a5e
246,11908,4194853110,radamsa-0-exid22,radamsa,39761,038f04bb54ba9e1fb67468890c662e7798865cf7be2045b028dcde9d0b042f96,crash,246,SEGV,0999f46922b326ce6ef98728dc4b030c
304,12163,2952889689,fairfuzz-0-exid22,fairfuzz,41379,2e2ac26a0ce4436377e567627db599a43d6e36593a5aa7b7172385a47cbc9372,crash,304,SEGV,3a8103e52bd56af19a1d1f38820d109a
195,12547,4194853110,radamsa-0-exid22,radamsa,43047,17df8265f157d15cad1a1acd2d132903ce7cccffca27c24312ac13420a135294,crash,195,SEGV,2712f705fe496e2a68dbce8efa10ade1
183,12815,4173881954,aflfast-0-exid22,aflfast,45062,53fc2f26799d8be35796e0c37c38c42ba27f57db37fd0983c804f0093e6b9a50,crash,183,SEGV,091e2b0acad15effd7329698203f260a
280,13983,4194853110,radamsa-0-exid22,radamsa,53746,82f479b79950fbe79e7da5951799db2ee9ce4758acf10fe94af365668d226630,crash,280,heap-buffer-overflow,7494f81786b09ea9ce1f0ca35a6034b8
165,15413,2952889689,fairfuzz-0-exid22,fairfuzz,68842,9d040a39e190b3b1b674a5c80b999e08a52d9ec38a39b4cafc853dbf9f4d1e72,crash,165,heap-buffer-overflow,2712f705fe496e2a68dbce8efa10ade1
157,15764,4194853110,radamsa-0-exid22,radamsa,71935,a9bdcbf4fb0b1efcaeb2eeedc2865dfa3eeded58122c9f76737b19a096f089a2,crash,157,heap-buffer-overflow,0c7b130bbfba561996b26620ff158c77
301,16006,3021693092,aflplusplus-0-exid22,aflplusplus,74649,63b38521d5e2aab008129553dec2c4144f50a49a5354a2cc93e365b8464b7f7b,crash,301,SEGV,7494f81786b09ea9ce1f0ca35a6034b8
237,16510,2952889689,fairfuzz-0-exid22,fairfuzz,77732,e8799995613f5a2910dccda929cead7f5b956f6d9026c825220eaa15d8732d40,crash,237,SEGV,daeda5ecfc475f3cdefd415e25b1768e
218,16619,2952889689,fairfuzz-0-exid22,fairfuzz,77846,f984780c7e6d450daf18772eb23d3ee07d310e3e3afd87c78dcd3da13a52356e,crash,218,SEGV,91be0b0e2b516cab92ad882cd851fed9
50,16844,3021693092,aflplusplus-0-exid22,aflplusplus,79268,db135792be59736ee311477c89e1850084d5cedfdd108b51b239b11886df82d2,crash,50,SEGV,3337507338c626f26a069ee763ff14e9
126,16846,3021693092,aflplusplus-0-exid22,aflplusplus,79349,f032024364dc00c79c7d6cd12f25f0f868dafb15606a8732fceb207d30e66051,crash,126,SEGV,887ecceebbe9d3b4bc394f84847e0910
19,16873,4173881954,aflfast-0-exid22,aflfast,80382,89e3c63479e93c66ffef864e2967c3b64c503c2f4f0a24284ebd8c2606227ee8,crash,19,SEGV,2ec156926468897b558f447029600c00
264,16874,4173881954,aflfast-0-exid22,aflfast,80419,cd14b6d2d8b29e124e752a3f88b102d93a5d6fdaed25ebd92a6e3f2fcc5be837,crash,264,SEGV,8238d482c3c723fa098a780e3f1f4085
299,16947,4173881954,aflfast-0-exid22,aflfast,81389,391352ef048a0f676a9f6b8115194bd5a60ce8d89d29ec2df2419c55b3623e61,crash,299,SEGV,3a8103e52bd56af19a1d1f38820d109a
75,16983,4194853110,radamsa-0-exid22,radamsa,82068,85c2b402a6a7e16aad518985a97fb21a32747ac4032b1c1420fd66f7fc4ab9c4,crash,75,SEGV,91be0b0e2b516cab92ad882cd851fed9
133,16991,4194853110,radamsa-0-exid22,radamsa,82076,a1f4933e93c341d10e97aab1357f0e567bcac7274a35130434d72d29f43069d3,crash,133,heap-buffer-overflow,2764ecf39d149e1b622ba9ed4656b425
272,17277,2952889689,fairfuzz-0-exid22,fairfuzz,83425,00015df37600c168fac9d756ccd20c99e515351ceaa838225406c5488b6fc922,crash,272,SEGV,95c6fe9da02e21922f72cde4c913d61a
276,17439,4194853110,radamsa-0-exid22,radamsa,84313,3932ca8626d2e512c2c43d68c3ccba30dc1450c67fcbccf6b4a7b3b01de0c21e,crash,276,SEGV,daeda5ecfc475f3cdefd415e25b1768e
131,17570,4194853110,radamsa-0-exid22,radamsa,84820,2d05fee01248d8e561cdf7e4cbde5ed401836694e6b4dae33ab25589f807bcea,crash,131,heap-buffer-overflow,d155606b7555e346d28683504bf0da93
296,17616,4194853110,radamsa-0-exid22,radamsa,85318,974b567efa84b231184ad2bb93c328661017014208982c2928f4c0e42796dbf8,crash,296,SEGV,efc30b45f506bf0a79a989d1bf639f30
111,17817,2952889689,fairfuzz-0-exid22,fairfuzz,86237,97c6302b9ec52500fc7e6b5e96e34c7d55251530a03143bf2e7272a86dce1015,crash,111,SEGV,d7ec70006ef23f3542f4988b10e53b26
